EmployeeID,LastName,FirstName,OrderID,ProductID,UnitPrice,Quantity,CustomerID,CompanyName,Attribute,Value
1,Davolio,Nancy,10258,2,15.2,50,ERNSH,Ernst Handel,ProductName,Chang
1,Davolio,Nancy,10258,2,15.2,50,ERNSH,Ernst Handel,CategoryName,Beverages
1,Davolio,Nancy,10258,2,15.2,50,ERNSH,Ernst Handel,SupplierName,Exotic Liquids
1,Davolio,Nancy,10258,5,17,65,ERNSH,Ernst Handel,ProductName,Chef Anton's Gumbo Mix
1,Davolio,Nancy,10258,5,17,65,ERNSH,Ernst Handel,CategoryName,Condiments
1,Davolio,Nancy,10258,5,17,65,ERNSH,Ernst Handel,SupplierName,New Orleans Cajun Delights
1,Davolio,Nancy,10258,32,25.6,6,ERNSH,Ernst Handel,ProductName,Mascarpone Fabioli
1,Davolio,Nancy,10258,32,25.6,6,ERNSH,Ernst Handel,CategoryName,Dairy Products
1,Davolio,Nancy,10258,32,25.6,6,ERNSH,Ernst Handel,SupplierName,Formaggi Fortini s.r.l.
1,Davolio,Nancy,10270,36,15.2,30,WARTH,Wartian Herkku,ProductName,Inlagd Sill
1,Davolio,Nancy,10270,36,15.2,30,WARTH,Wartian Herkku,CategoryName,Seafood
1,Davolio,Nancy,10270,36,15.2,30,WARTH,Wartian Herkku,SupplierName,Svensk Sjöföda AB
1,Davolio,Nancy,10270,43,36.8,25,WARTH,Wartian Herkku,ProductName,Ipoh Coffee
1,Davolio,Nancy,10270,43,36.8,25,WARTH,Wartian Herkku,CategoryName,Beverages
1,Davolio,Nancy,10270,43,36.8,25,WARTH,Wartian Herkku,SupplierName,Leka Trading
1,Davolio,Nancy,10275,24,3.6,12,MAGAA,Magazzini Alimentari Riuniti,ProductName,Guaraná Fantástica
1,Davolio,Nancy,10275,24,3.6,12,MAGAA,Magazzini Alimentari Riuniti,CategoryName,Beverages
1,Davolio,Nancy,10275,24,3.6,12,MAGAA,Magazzini Alimentari Riuniti,SupplierName,Refrescos Americanas LTDA
1,Davolio,Nancy,10275,59,44,6,MAGAA,Magazzini Alimentari Riuniti,ProductName,Raclette Courdavault
1,Davolio,Nancy,10275,59,44,6,MAGAA,Magazzini Alimentari Riuniti,CategoryName,Dairy Products
1,Davolio,Nancy,10275,59,44,6,MAGAA,Magazzini Alimentari Riuniti,SupplierName,Gai pâturage
1,Davolio,Nancy,10285,1,14.4,45,QUICK,QUICK-Stop,ProductName,Chai
1,Davolio,Nancy,10285,1,14.4,45,QUICK,QUICK-Stop,CategoryName,Beverages
1,Davolio,Nancy,10285,1,14.4,45,QUICK,QUICK-Stop,SupplierName,Exotic Liquids
1,Davolio,Nancy,10285,40,14.7,40,QUICK,QUICK-Stop,ProductName,Boston Crab Meat
1,Davolio,Nancy,10285,40,14.7,40,QUICK,QUICK-Stop,CategoryName,Seafood
1,Davolio,Nancy,10285,40,14.7,40,QUICK,QUICK-Stop,SupplierName,New England Seafood Cannery
1,Davolio,Nancy,10285,53,26.2,36,QUICK,QUICK-Stop,ProductName,Perth Pasties
1,Davolio,Nancy,10285,53,26.2,36,QUICK,QUICK-Stop,CategoryName,Meat/Poultry
1,Davolio,Nancy,10285,53,26.2,36,QUICK,QUICK-Stop,SupplierName,"G'day, Mate"
1,Davolio,Nancy,10292,20,64.8,20,TRADH,Tradição Hipermercados,ProductName,Sir Rodney's Marmalade
